Quelle	Jahr	Wort	Frequenz
S	1953	Ausseer	1.1885440988488356
S	1953	Atomwissenschaftler	2.971360247122089
S	1953	Ausreißer	0.5942720494244178
S	1953	Aussteller	5.34844844481976
S	1953	Ausstellungsbesucher	1.7828161482732534
S	1953	Außenminister	155.69927694919747
S	1953	Außenseiter	11.291168939063938
S	1953	Australier	13.073985087337192
S	1953	Augsburger	11.885440988488355
S	1953	Austräger	1.1885440988488356
S	1953	Autobesitzer	2.377088197697671
S	1953	Autohändler	0.5942720494244178
S	1953	Autokäufer	1.1885440988488356
S	1953	Autofahrer	5.9427204942441785
S	1953	Bademeister	1.1885440988488356
S	1953	Avantgardist	1.7828161482732534
S	1953	Bahnbrecher	1.1885440988488356
S	1953	Autohersteller	0.5942720494244178
S	1953	Badener	1.1885440988488356
S	1953	Baden-Badener	1.1885440988488356
S	1953	Autodidakt	1.1885440988488356
S	1953	Bandit	2.377088197697671
S	1953	Autogrammjäger	0.5942720494244178
S	1953	Bamberger	6.536992543668596
S	1953	Bäckermeister	0.5942720494244178
S	1953	Bandenchef	10.102624840215103
S	1953	Bandwirker	0.5942720494244178
S	1953	Bandleader	0.5942720494244178
S	1953	Baggerführer	0.5942720494244178
S	1953	Bänkelsänger	0.5942720494244178
S	1953	Bannerträger	0.5942720494244178
S	1953	Bär	4.159904345970925
S	1953	Abenteurer	4.159904345970925
S	1953	Basler	7.131264593093014
S	1953	Baseler	0.5942720494244178
S	1953	Bahnwärter	0.5942720494244178
S	1953	Barmixer	1.1885440988488356
S	1953	Bauleiter	2.971360247122089
S	1953	Baptist	0.5942720494244178
S	1953	Bankier	18.42243353215695
S	1953	Barbar	2.971360247122089
S	1953	Befehlsempfänger	0.5942720494244178
S	1953	Bayreuther	4.754176395395342
S	1953	Bedränger	0.5942720494244178
S	1953	Bearbeiter	1.7828161482732534
S	1953	Bastler	1.1885440988488356
S	1953	Baumeister	8.914080741366266
S	1953	Begleiter	11.885440988488355
S	1953	Befehlshaber	8.31980869194185
S	1953	Befreier	7.131264593093014
S	1953	Adept	0.5942720494244178
S	1953	Berber	5.9427204942441785
S	1953	Befürworter	2.971360247122089
S	1953	Berchtesgadener	1.1885440988488356
S	1953	Bergassessor	0.5942720494244178
S	1953	Abteilungschef	0.5942720494244178
S	1953	Berner	5.9427204942441785
S	1953	Bergbewohner	1.1885440988488356
S	1953	Berufsboxer	2.377088197697671
S	1953	Berserker	0.5942720494244178
S	1953	Berichter	2.377088197697671
S	1953	Berufsfahrer	1.1885440988488356
S	1953	Advokat	1.1885440988488356
S	1953	Berufsmusiker	0.5942720494244178
S	1953	Berufsrevolutionär	1.1885440988488356
S	1953	Berufspolitiker	0.5942720494244178
S	1953	Berufssoldat	0.5942720494244178
S	1953	Berufungsrichter	1.1885440988488356
S	1953	Berichterstatter	9.508352790790685
S	1953	Berufsrichter	0.5942720494244178
S	1953	Amokläufer	1.7828161482732534
S	1953	Berufssportler	0.5942720494244178
S	1953	Beschatter	0.5942720494244178
S	1953	Beschreiber	1.1885440988488356
S	1953	Besetzer	0.5942720494244178
S	1953	Amateursportler	0.5942720494244178
S	1953	Beschauer	0.5942720494244178
S	1953	Besucher	62.39856518956387
S	1953	Besprecher	0.5942720494244178
S	1953	Berliner	194.92123221120903
S	1953	Besatzer	4.159904345970925
S	1953	Besitzer	39.221955262011576
